frame,time,left_density,right_density,total_density
885,35.4,11,5,16
886,35.44,11,5,16
887,35.48,11,5,16
888,35.52,10,5,15
889,35.56,10,5,15
890,35.6,10,5,15
891,35.64,10,5,15
892,35.68,10,5,15
893,35.72,10,5,15
894,35.76,11,5,16
895,35.8,11,5,16
896,35.84,11,5,16
897,35.88,11,5,16
898,35.92,13,4,17
899,35.96,14,4,18
900,36.0,14,4,18
901,36.04,14,4,18
902,36.08,14,5,19
903,36.12,13,5,18
904,36.16,13,6,19
905,36.2,13,6,19
906,36.24,14,6,20
907,36.28,14,6,20
908,36.32,14,6,20
909,36.36,12,6,18
910,36.4,12,6,18
911,36.44,12,5,17
912,36.48,12,6,18
913,36.52,12,6,18
914,36.56,12,6,18
915,36.6,12,7,19
916,36.64,12,7,19
917,36.68,12,6,18
918,36.72,13,6,19
919,36.76,13,7,20
920,36.8,14,8,22
921,36.84,14,8,22
922,36.88,13,8,21
923,36.92,13,7,20
924,36.96,14,8,22
925,37.0,14,6,20
926,37.04,14,6,20
927,37.08,14,6,20
928,37.12,14,6,20
929,37.16,16,6,22
930,37.2,15,7,22
931,37.24,15,6,21
932,37.28,15,6,21
933,37.32,13,7,20
934,37.36,13,7,20
935,37.4,14,7,21
936,37.44,12,7,19
937,37.48,12,7,19
938,37.52,12,8,20
939,37.56,13,8,21
940,37.6,14,7,21
941,37.64,14,7,21
942,37.68,13,7,20
943,37.72,13,6,19
944,37.76,13,6,19
945,37.8,14,6,20
946,37.84,14,5,19
947,37.88,14,6,20
948,37.92,14,6,20
949,37.96,14,6,20
950,38.0,14,6,20
951,38.04,14,6,20
952,38.08,14,6,20
953,38.12,14,7,21
954,38.16,15,7,22
955,38.2,15,7,22
956,38.24,16,7,23
957,38.28,13,7,20
958,38.32,14,7,21
959,38.36,15,7,22
960,38.4,15,7,22
961,38.44,15,6,21
962,38.48,14,6,20
963,38.52,14,6,20
964,38.56,14,6,20
965,38.6,13,6,19
966,38.64,12,6,18
967,38.68,13,6,19
968,38.72,12,7,19
969,38.76,13,7,20
970,38.8,12,8,20
971,38.84,12,8,20
972,38.88,12,8,20
973,38.92,11,8,19
974,38.96,12,8,20
975,39.0,13,8,21
976,39.04,13,8,21
977,39.08,12,6,18
978,39.12,12,7,19
979,39.16,11,8,19
980,39.2,11,8,19
981,39.24,11,8,19
982,39.28,11,8,19
983,39.32,10,8,18
984,39.36,10,8,18
985,39.4,10,8,18
986,39.44,10,8,18
987,39.48,10,8,18
988,39.52,10,8,18
989,39.56,10,7,17
990,39.6,10,7,17
991,39.64,10,7,17
992,39.68,11,7,18
993,39.72,10,7,17
994,39.76,10,7,17
995,39.8,10,8,18
996,39.84,11,8,19
997,39.88,10,8,18
998,39.92,10,8,18
999,39.96,10,9,19
1000,40.0,9,9,18
1001,40.04,9,8,17
1002,40.08,9,8,17
1003,40.12,9,8,17
1004,40.16,8,8,16
1005,40.2,7,8,15
1006,40.24,7,8,15
1007,40.28,7,8,15
1008,40.32,7,8,15
1009,40.36,7,8,15
1010,40.4,7,8,15
1011,40.44,8,8,16
1012,40.48,7,10,17
1013,40.52,7,11,18
1014,40.56,8,11,19
1015,40.6,7,11,18
1016,40.64,8,11,19
1017,40.68,8,11,19
1018,40.72,7,11,18
1019,40.76,8,11,19
1020,40.8,8,10,18
1021,40.84,9,10,19
1022,40.88,8,10,18
1023,40.92,8,10,18
1024,40.96,8,10,18
1025,41.0,8,10,18
1026,41.04,8,11,19
1027,41.08,8,11,19
1028,41.12,8,11,19
1029,41.16,8,11,19
1030,41.2,6,11,17
1031,41.24,7,11,18
1032,41.28,6,9,15
1033,41.32,7,10,17
1034,41.36,7,10,17
1035,41.4,7,11,18
1036,41.44,7,11,18
1037,41.48,7,11,18
1038,41.52,7,9,16
1039,41.56,7,10,17
1040,41.6,7,10,17
1041,41.64,7,10,17
1042,41.68,7,10,17
1043,41.72,7,10,17
1044,41.76,7,10,17
1045,41.8,7,10,17
1046,41.84,6,11,17
1047,41.88,6,10,16
1048,41.92,6,10,16
1049,41.96,6,10,16
1050,42.0,6,10,16
1051,42.04,6,10,16
1052,42.08,7,10,17
1053,42.12,6,10,16
1054,42.16,6,10,16
1055,42.2,7,10,17
1056,42.24,6,10,16
1057,42.28,6,10,16
1058,42.32,7,10,17
1059,42.36,7,10,17
1060,42.4,7,10,17
1061,42.44,7,10,17
1062,42.48,7,10,17
1063,42.52,7,10,17
1064,42.56,7,10,17
1065,42.6,7,10,17
1066,42.64,7,8,15
1067,42.68,7,9,16
1068,42.72,7,9,16
1069,42.76,7,10,17
1070,42.8,6,8,14
1071,42.84,6,8,14
1072,42.88,6,9,15
1073,42.92,6,9,15
1074,42.96,6,8,14
1075,43.0,6,9,15
1076,43.04,6,9,15
1077,43.08,6,9,15
1078,43.12,7,8,15
1079,43.16,7,8,15
1080,43.2,7,8,15
1081,43.24,7,9,16
1082,43.28,7,9,16
1083,43.32,7,9,16
1084,43.36,7,9,16
1085,43.4,7,9,16
1086,43.44,7,9,16
1087,43.48,6,9,15
1088,43.52,6,8,14
1089,43.56,5,8,13
1090,43.6,4,8,12
1091,43.64,5,8,13
1092,43.68,5,8,13
1093,43.72,4,8,12
1094,43.76,5,8,13
1095,43.8,5,9,14
1096,43.84,5,9,14
1097,43.88,5,9,14
1098,43.92,5,9,14
1099,43.96,5,9,14
1100,44.0,4,10,14
1101,44.04,4,10,14
1102,44.08,4,10,14
1103,44.12,5,8,13
1104,44.16,5,8,13
1105,44.2,6,10,16
1106,44.24,6,9,15
1107,44.28,6,10,16
1108,44.32,6,10,16
1109,44.36,6,11,17
1110,44.4,6,9,15
1111,44.44,6,10,16
